,date,sign,text
0,2021-01-01,aries,"Вы уверенно ступили в новый 2021 год, и стоит продолжать в том же духе – подумайте, какие мероприятия подкрепят вашу самооценку и запланируйте их на ближайшее будущее. Также звезды советуют больше общаться, обмениваться мнениями и активнее проводить время – все это позволит не потерять новогоднее настроение. К тому же в это волшебное время можно познакомиться с родственной душой."
1,2021-01-01,gemini,"Продолжайте отмечать праздник так, как вам комфортно. Не страшно, если вы устали и хотите отдохнуть от веселья, главное, чтобы это приносило вам удовольствие. Сейчас неожиданные новости могут перевернуть ваш мир с ног на голову: постарайтесь сначала разобраться в вопросе, а потом менять свой взгляд или решение. Также звезды советуют прислушиваться к интуиции – сегодня она подскажет, чему верить и на какие предложения соглашаться."
2,2021-01-01,taurus,"Хватит думать о работе, планах на новый год и семейных хлопотах, сейчас стоит сконцентрировать внимание на себе любимом и тех делах, которые приносят вам удовольствие. А если хочется занять свой мозг чем-то, возьмите книгу, на которую прежде не было времени. В домашнем кругу и уютной атмосфере полезно обсудить прошлое и на минутку задуматься о будущем."
3,2021-01-01,cancer,"Наконец, вы можете выдохнуть: Новый год прошел на ура, и все гости довольные разошлись по домам. Теперь вы можете устроить себе ленивый день, отдыхая на полную катушку. Также звезды советуют сегодня позволить себе чуточку большее, чем обычно. Например, купите красивое платье, съешьте что-то калорийное или признайтесь кому-то в теплых чувствах – подойдет все."
4,2021-01-01,leo,"Настраивайтесь на приятные впечатления – сегодня их будет выше крыши. Больше мечтайте, загадывайте звездам желания, а они постараются выполнить их все. Также стоит быть осторожнее с приливами чувств и энергии – они могут толкнуть вас на авантюры и поиски приключений, и не факт, что закончится все это хорошо. Чаще общайтесь с интересными людьми, чтобы вдохновиться их речами на новые идеи и свершения."
5,2021-01-01,virgo,"Лучше провести этот день вдали от шума и суеты, от людей и информации. Сконцентрируйте внимание на тех вещах, которые действительно вам нравятся, на которые прежде вы не могли найти времени. Также звезды советуют побольше мечтать – сейчас вы можете переписать сценарий своей судьбы и самое время думать и совершать уверенные шаги навстречу своим желаниям."
6,2021-01-01,libra,"Активнее общайтесь, знакомьтесь и делитесь своим мнением – сегодня вы можете самостоятельно притянуть в свою жизнь невероятные возможности, получить долгожданные предложения. Но кидаться в работу не стоит, это время для отдыха и наслаждений. Также звезды советуют не ограничивать себя в расходах – не бойтесь тратить, Вселенная поможет заработать еще больше. "
7,2021-01-01,scorpio,"Сегодня можно выбрать ленивый отдых за хорошим фильмом и вкусной едой. Также звезды советуют остаться дома и отоспаться, зарядиться энергией. Если все же хочется общения, то лучше позвать друзей к себе в гости и продолжить празднование. Кстати, сейчас вы можете помириться с теми людьми, с которым отношения последнее время не складывались. Вечером ждите сюрпризы. "
8,2021-01-01,sagittarius,"Подарки от Вселенной еще не закончились, поэтому очередной сюрприз может настигнуть вас в самое неожиданное время. Выбирайте в этот день только те занятия, которые приносят вам положительные эмоции, не заставляйте себя делать то, что вам не нравится. Кстати, в это ленивое время вам могут прийти блестящие идеи и планы – записывайте их, чтобы позже превратить в жизнь. "
9,2021-01-01,capricorn,"Наслаждаться отдыхом, расслабляться по максимуму – это не про вас. Вы уже сейчас разрабатываете новые планы и пересматриваете старые идеи. Занимайтесь в этот день тем, что доставляет вам удовольствие, даже если это будет ваша работа. Но вечером все же стоит расслабиться и продолжить праздновать – вам нужно запастись энергией, чтобы совершать карьерные подвиги и дальше. "
10,2021-01-01,aquarius,"Несмотря на всю усталость от долгой и безумно веселой ночи, вы хотите продолжать праздник и общение и дальше. Звезды же советуют отдохнуть и восстановить силы: не волнуйтесь, в первый день нового года вы вряд ли пропустите что-то интересное. Прислушивайтесь к своей интуиции – она подскажет, на какую информацию сейчас обратить внимание и с какими людьми завести знакомство."
11,2021-01-01,pisces,"После такой бурной и веселой ночи придется отдыхать несколько дней. К тому же последнее время выдались очень напряженным, и сейчас у вас нет сил на активное времяпровождение. Не волнуйтесь, если что-то не успели – звезды проконтролируют все ваши дела за вас. Подарки от Вселенной еще не закончились, поэтому очередной сюрприз может настигнуть вас в самое неожиданное время."
12,2021-01-02,aries,"Ваш дом – ваша крепость. Сегодня вам не захочется выходить за пределы своей теплой «берлоги», но этого и не потребуется. Наводите порядок, создавайте уют и отдыхайте. А вот садиться в кресло лидера и раздавать свои указы, контролировать близких – такая тактика до добра не доведет. От рискованных действий и авантюр тоже стоит отказаться – вы сможете добиться своего мягкими методами, без серьезных потерь."
