,date,sign,lemm_tokens
0,2021-01-01,aries,"['уверенно', 'ступить', 'новый', '2021', 'год', 'стоить', 'продолжать', 'дух', 'подумать', 'какой', 'мероприятие', 'подкрепить', 'ваш', 'самооценка', 'запланировать', 'близкий', 'будущее', 'также', 'звезда', 'советовать', 'общаться', 'обмениваться', 'мнение', 'активный', 'проводить', 'время', 'это', 'позволить', 'потерять', 'новогодний', 'настроение', 'тот', 'это', 'волшебный', 'время', 'познакомиться', 'родственный', 'душа']"
1,2021-01-01,gemini,"['продолжать', 'отмечать', 'праздник', 'комфортно', 'страшно', 'устать', 'хотеть', 'отдохнуть', 'веселие', 'главное', 'это', 'приносить', 'удовольствие', 'неожиданный', 'новость', 'мочь', 'перевернуть', 'ваш', 'мир', 'нога', 'голова', 'постараться', 'сначала', 'разобраться', 'вопрос', 'менять', 'свой', 'взгляд', 'решение', 'также', 'звезда', 'советовать', 'прислушиваться', 'интуиция', 'сегодня', 'подсказать', 'что', 'верить', 'какой', 'предложение', 'соглашаться']"
2,2021-01-01,taurus,"['хватить', 'думать', 'работа', 'план', 'новый', 'год', 'семейный', 'хлопоты', 'стоить', 'сконцентрировать', 'внимание', 'любим', 'тот', 'дело', 'который', 'приносить', 'удовольствие', 'хотеться', 'занять', 'свой', 'мозг', 'чемтый', 'взять', 'книга', 'который', 'прежде', 'время', 'домашний', 'круг', 'уютный', 'атмосфера', 'полезно', 'обсудить', 'прошлое', 'минутка', 'задуматься', 'будущее']"
3,2021-01-01,cancer,"['мочь', 'выдохнуть', 'новый', 'год', 'пройти', 'ура', 'гость', 'довольный', 'разойтись', 'дом', 'мочь', 'устроить', 'ленивый', 'день', 'отдыхать', 'полный', 'катушка', 'также', 'звезда', 'советовать', 'сегодня', 'позволить', 'чуточку', 'больший', 'обычно', 'например', 'купить', 'красивый', 'платье', 'съесть', 'чтоть', 'калорийный', 'признаться', 'комуть', 'тёплый', 'чувство', 'подойти']"
4,2021-01-01,leo,"['настраиваться', 'приятный', 'впечатление', 'сегодня', 'выше', 'крыша', 'мечтать', 'загадывать', 'звезда', 'желание', 'постараться', 'выполнить', 'также', 'стоить', 'осторожный', 'прилив', 'чувство', 'энергия', 'мочь', 'толкнуть', 'авантюра', 'поиск', 'приключение', 'факт', 'закончиться', 'это', 'частый', 'общаться', 'интересный', 'человек', 'вдохновиться', 'речь', 'новый', 'идея', 'свершение']"
5,2021-01-01,virgo,"['провести', 'день', 'вдали', 'шум', 'суета', 'человек', 'информация', 'сконцентрировать', 'внимание', 'тот', 'вещь', 'который', 'действительно', 'нравиться', 'который', 'прежде', 'мочь', 'найти', 'время', 'также', 'звезда', 'советовать', 'большой', 'мечтать', 'мочь', 'переписать', 'сценарий', 'свой', 'судьба', 'самый', 'время', 'думать', 'совершать', 'уверенный', 'шаг', 'навстречу', 'свой', 'желание']"
6,2021-01-01,libra,"['активный', 'общаться', 'знакомиться', 'делиться', 'свой', 'мнение', 'сегодня', 'мочь', 'самостоятельно', 'притянуть', 'жизнь', 'невероятный', 'возможность', 'получить', 'долгожданный', 'предложение', 'кидаться', 'работа', 'стоить', 'это', 'время', 'отдых', 'наслаждение', 'также', 'звезда', 'советовать', 'ограничивать', 'расход', 'бояться', 'тратить', 'вселенная', 'помочь', 'заработать']"
7,2021-01-01,scorpio,"['сегодня', 'выбрать', 'ленивый', 'отдых', 'хороший', 'фильм', 'вкусный', 'еда', 'также', 'звезда', 'советовать', 'остаться', 'дом', 'отоспаться', 'зарядиться', 'энергия', 'хотеться', 'общение', 'позвать', 'друг', 'гость', 'продолжить', 'празднование', 'кстати', 'мочь', 'помириться', 'тот', 'человек', 'который', 'отношение', 'последний', 'время', 'складываться', 'вечером', 'ждать', 'сюрприз']"
8,2021-01-01,sagittarius,"['подарок', 'вселенная', 'закончиться', 'поэтому', 'очередной', 'сюрприз', 'настигнуть', 'самый', 'неожиданный', 'время', 'выбирать', 'день', 'тот', 'занятие', 'который', 'приносить', 'положительный', 'эмоция', 'заставлять', 'делать', 'нравиться', 'кстати', 'это', 'ленивый', 'время', 'мочь', 'прийти', 'блестящий', 'идея', 'план', 'записывать', 'поздний', 'превратить', 'жизнь']"
9,2021-01-01,capricorn,"['наслаждаться', 'отдых', 'расслабляться', 'максимум', 'это', 'разрабатывать', 'новый', 'план', 'пересматривать', 'старый', 'идея', 'заниматься', 'день', 'доставлять', 'удовольствие', 'это', 'ваш', 'работа', 'вечером', 'стоить', 'расслабиться', 'продолжить', 'праздновать', 'нужно', 'запастись', 'энергия', 'совершать', 'карьерный', 'подвиг', 'далёкий']"
